cruise_agent,cruise_job_duration,cruise_job_id,cruise_job_result,cruise_pipeline_counter,cruise_pipeline_label,cruise_stage_counter,cruise_timestamp_01_scheduled,cruise_timestamp_02_assigned,cruise_timestamp_03_preparing,cruise_timestamp_04_building,cruise_timestamp_05_completing,cruise_timestamp_06_completed
d77245350,159,270,Passed,43,3.43,1,2010-06-04T12:23:36+10:00,2010-06-04T12:24:13+10:00,2010-06-04T12:24:13+10:00,2010-06-04T12:24:16+10:00,2010-06-04T12:26:40+10:00,2010-06-04T12:26:56+10:00
d77245350,152,278,Passed,44,3.44,1,2010-06-04T13:57:46+10:00,2010-06-04T13:57:56+10:00,2010-06-04T13:57:56+10:00,2010-06-04T13:57:59+10:00,2010-06-04T14:00:14+10:00,2010-06-04T14:00:32+10:00
d77245350,147,294,Passed,47,3.47,1,2010-06-04T15:26:16+10:00,2010-06-04T15:26:26+10:00,2010-06-04T15:26:26+10:00,2010-06-04T15:26:30+10:00,2010-06-04T15:28:41+10:00,2010-06-04T15:28:57+10:00
d77245350,152,305,Passed,48,3.48,1,2010-06-04T16:56:38+10:00,2010-06-04T16:56:58+10:00,2010-06-04T16:56:58+10:00,2010-06-04T16:57:01+10:00,2010-06-04T16:59:17+10:00,2010-06-04T16:59:33+10:00
d77245350,147,313,Passed,49,3.49,1,2010-06-07T10:06:56+10:00,2010-06-07T10:07:14+10:00,2010-06-07T10:07:14+10:00,2010-06-07T10:07:17+10:00,2010-06-07T10:09:27+10:00,2010-06-07T10:09:45+10:00
d77245350,159,347,Passed,50,3.50,1,2010-06-07T12:11:47+10:00,2010-06-07T12:12:04+10:00,2010-06-07T12:12:04+10:00,2010-06-07T12:12:08+10:00,2010-06-07T12:14:24+10:00,2010-06-07T12:14:48+10:00
d77245350,152,351,Passed,51,3.51,1,2010-06-07T12:45:32+10:00,2010-06-07T12:45:42+10:00,2010-06-07T12:45:43+10:00,2010-06-07T12:45:46+10:00,2010-06-07T12:48:01+10:00,2010-06-07T12:48:18+10:00
d77245350,151,358,Passed,52,3.52,1,2010-06-07T14:48:07+10:00,2010-06-07T14:48:17+10:00,2010-06-07T14:48:17+10:00,2010-06-07T14:48:21+10:00,2010-06-07T14:50:33+10:00,2010-06-07T14:50:53+10:00
d77245350,158,366,Passed,53,3.53,1,2010-06-07T15:50:46+10:00,2010-06-07T15:50:56+10:00,2010-06-07T15:50:56+10:00,2010-06-07T15:51:00+10:00,2010-06-07T15:53:18+10:00,2010-06-07T15:53:38+10:00
d77245350,149,383,Passed,54,3.54,1,2010-06-07T18:05:03+10:00,2010-06-07T18:05:21+10:00,2010-06-07T18:05:21+10:00,2010-06-07T18:05:25+10:00,2010-06-07T18:07:37+10:00,2010-06-07T18:07:54+10:00
d77245350,156,387,Passed,55,3.55,1,2010-06-07T18:34:37+10:00,2010-06-07T18:34:47+10:00,2010-06-07T18:34:47+10:00,2010-06-07T18:34:51+10:00,2010-06-07T18:37:08+10:00,2010-06-07T18:37:27+10:00
d77245350,148,397,Passed,57,3.57,1,2010-06-08T11:43:12+10:00,2010-06-08T11:43:22+10:00,2010-06-08T11:43:22+10:00,2010-06-08T11:43:25+10:00,2010-06-08T11:45:36+10:00,2010-06-08T11:45:53+10:00
d77245350,155,403,Passed,58,3.58,1,2010-06-08T13:20:46+10:00,2010-06-08T13:20:56+10:00,2010-06-08T13:20:56+10:00,2010-06-08T13:20:59+10:00,2010-06-08T13:23:16+10:00,2010-06-08T13:23:34+10:00
d77245350,148,422,Passed,59,3.59,1,2010-06-08T16:54:00+10:00,2010-06-08T17:03:34+10:00,2010-06-08T17:03:34+10:00,2010-06-08T17:03:37+10:00,2010-06-08T17:05:47+10:00,2010-06-08T17:06:05+10:00
d77245350,150,428,Passed,60,3.60,1,2010-06-08T17:52:58+10:00,2010-06-08T17:53:08+10:00,2010-06-08T17:53:08+10:00,2010-06-08T17:53:12+10:00,2010-06-08T17:55:24+10:00,2010-06-08T17:55:43+10:00
d77245350,151,450,Passed,61,3.61,1,2010-06-09T10:29:03+10:00,2010-06-09T10:29:13+10:00,2010-06-09T10:29:13+10:00,2010-06-09T10:29:17+10:00,2010-06-09T10:31:30+10:00,2010-06-09T10:31:48+10:00
d77245350,154,456,Passed,62,3.62,1,2010-06-09T11:16:22+10:00,2010-06-09T11:16:39+10:00,2010-06-09T11:16:40+10:00,2010-06-09T11:16:44+10:00,2010-06-09T11:19:02+10:00,2010-06-09T11:19:18+10:00
d77245350,157,463,Passed,63,3.63,1,2010-06-09T11:58:39+10:00,2010-06-09T12:07:19+10:00,2010-06-09T12:07:19+10:00,2010-06-09T12:07:23+10:00,2010-06-09T12:09:43+10:00,2010-06-09T12:10:00+10:00
d77245350,225,476,Passed,64,3.64,1,2010-06-09T13:18:36+10:00,2010-06-09T13:20:08+10:00,2010-06-09T13:20:11+10:00,2010-06-09T13:20:15+10:00,2010-06-09T13:23:32+10:00,2010-06-09T13:24:00+10:00
d77245350,169,480,Passed,65,3.65,1,2010-06-09T13:28:08+10:00,2010-06-09T14:10:19+10:00,2010-06-09T14:10:19+10:00,2010-06-09T14:10:54+10:00,2010-06-09T14:13:25+10:00,2010-06-09T14:13:43+10:00
d77245350,150,498,Passed,67,3.67,1,2010-06-09T15:32:13+10:00,2010-06-09T15:32:23+10:00,2010-06-09T15:32:23+10:00,2010-06-09T15:32:26+10:00,2010-06-09T15:34:38+10:00,2010-06-09T15:34:56+10:00
d77245350,154,507,Passed,68,3.68,1,2010-06-09T17:32:56+10:00,2010-06-09T17:42:12+10:00,2010-06-09T17:42:12+10:00,2010-06-09T17:42:15+10:00,2010-06-09T17:44:32+10:00,2010-06-09T17:44:49+10:00
d77245350,159,513,Passed,69,3.69,1,2010-06-09T18:28:30+10:00,2010-06-09T18:28:47+10:00,2010-06-09T18:28:47+10:00,2010-06-09T18:28:51+10:00,2010-06-09T18:31:11+10:00,2010-06-09T18:31:30+10:00
d77245350,146,520,Passed,71,3.71,1,2010-06-09T19:42:35+10:00,2010-06-09T19:42:50+10:00,2010-06-09T19:42:50+10:00,2010-06-09T19:42:53+10:00,2010-06-09T19:45:03+10:00,2010-06-09T19:45:19+10:00
d77245350,152,525,Passed,72,3.72,1,2010-06-09T22:23:37+10:00,2010-06-09T22:23:47+10:00,2010-06-09T22:23:47+10:00,2010-06-09T22:23:50+10:00,2010-06-09T22:26:04+10:00,2010-06-09T22:26:22+10:00
d77245350,151,530,Passed,73,3.73,1,2010-06-09T23:18:04+10:00,2010-06-09T23:18:14+10:00,2010-06-09T23:18:14+10:00,2010-06-09T23:18:17+10:00,2010-06-09T23:20:31+10:00,2010-06-09T23:20:48+10:00
d77245350,150,539,Passed,74,3.74,1,2010-06-10T10:02:52+10:00,2010-06-10T10:10:31+10:00,2010-06-10T10:10:31+10:00,2010-06-10T10:10:35+10:00,2010-06-10T10:12:49+10:00,2010-06-10T10:13:05+10:00
d77245350,147,547,Passed,75,3.75,1,2010-06-10T11:12:41+10:00,2010-06-10T11:12:56+10:00,2010-06-10T11:12:56+10:00,2010-06-10T11:13:00+10:00,2010-06-10T11:15:10+10:00,2010-06-10T11:15:27+10:00
d77245350,156,552,Passed,76,3.76,1,2010-06-10T11:52:25+10:00,2010-06-10T12:01:29+10:00,2010-06-10T12:01:29+10:00,2010-06-10T12:01:33+10:00,2010-06-10T12:03:51+10:00,2010-06-10T12:04:09+10:00
d77245350,158,559,Passed,77,3.77,1,2010-06-10T13:56:00+10:00,2010-06-10T13:56:10+10:00,2010-06-10T13:56:10+10:00,2010-06-10T13:56:14+10:00,2010-06-10T13:58:35+10:00,2010-06-10T13:58:52+10:00
d77245350,153,571,Passed,79,3.79,1,2010-06-10T15:29:43+10:00,2010-06-10T15:29:53+10:00,2010-06-10T15:29:53+10:00,2010-06-10T15:29:56+10:00,2010-06-10T15:32:12+10:00,2010-06-10T15:32:30+10:00
d77245350,135,576,Passed,80,3.80,1,2010-06-10T15:44:19+10:00,2010-06-10T15:44:29+10:00,2010-06-10T15:44:29+10:00,2010-06-10T15:44:33+10:00,2010-06-10T15:46:30+10:00,2010-06-10T15:46:48+10:00
d77245350,148,586,Passed,81,3.81,1,2010-06-11T10:56:59+10:00,2010-06-11T10:57:09+10:00,2010-06-11T10:57:09+10:00,2010-06-11T10:57:13+10:00,2010-06-11T10:59:24+10:00,2010-06-11T10:59:41+10:00
d77245350,160,624,Passed,82,3.82,1,2010-06-15T13:23:47+10:00,2010-06-15T13:23:57+10:00,2010-06-15T13:23:57+10:00,2010-06-15T13:24:01+10:00,2010-06-15T13:26:20+10:00,2010-06-15T13:26:41+10:00
d77245350,150,640,Passed,83,3.83,1,2010-06-15T16:40:38+10:00,2010-06-15T16:40:48+10:00,2010-06-15T16:40:48+10:00,2010-06-15T16:40:51+10:00,2010-06-15T16:43:03+10:00,2010-06-15T16:43:21+10:00
d77245350,149,654,Passed,84,3.84,1,2010-06-16T09:48:58+10:00,2010-06-16T09:49:09+10:00,2010-06-16T09:49:09+10:00,2010-06-16T09:49:12+10:00,2010-06-16T09:51:26+10:00,2010-06-16T09:51:41+10:00
d77245350,151,665,Passed,85,3.85,1,2010-06-16T18:41:02+10:00,2010-06-16T18:41:12+10:00,2010-06-16T18:41:12+10:00,2010-06-16T18:41:15+10:00,2010-06-16T18:43:29+10:00,2010-06-16T18:43:46+10:00
d77245350,157,670,Passed,86,3.86,1,2010-06-17T09:46:37+10:00,2010-06-17T09:46:47+10:00,2010-06-17T09:46:47+10:00,2010-06-17T09:46:50+10:00,2010-06-17T09:49:08+10:00,2010-06-17T09:49:27+10:00
d77245350,153,684,Passed,87,3.87,1,2010-06-17T14:45:54+10:00,2010-06-17T14:46:04+10:00,2010-06-17T14:46:04+10:00,2010-06-17T14:46:08+10:00,2010-06-17T14:48:23+10:00,2010-06-17T14:48:41+10:00
d77245350,154,699,Passed,88,3.88,1,2010-06-17T17:46:59+10:00,2010-06-17T17:47:09+10:00,2010-06-17T17:47:09+10:00,2010-06-17T17:47:12+10:00,2010-06-17T17:49:29+10:00,2010-06-17T17:49:46+10:00
d77245350,146,731,Passed,89,3.89,1,2010-06-18T14:46:56+10:00,2010-06-18T14:47:06+10:00,2010-06-18T14:47:06+10:00,2010-06-18T14:47:10+10:00,2010-06-18T14:49:20+10:00,2010-06-18T14:49:36+10:00
d77245350,164,748,Passed,91,3.91,4,2010-06-21T10:00:26+10:00,2010-06-21T10:00:33+10:00,2010-06-21T10:00:33+10:00,2010-06-21T10:00:36+10:00,2010-06-21T10:03:04+10:00,2010-06-21T10:03:21+10:00
d77245350,144,757,Passed,92,3.92,1,2010-06-21T11:48:30+10:00,2010-06-21T11:48:40+10:00,2010-06-21T11:48:40+10:00,2010-06-21T11:48:44+10:00,2010-06-21T11:50:53+10:00,2010-06-21T11:51:09+10:00
d77245350,138,766,Passed,93,3.93,1,2010-06-21T14:19:46+10:00,2010-06-21T14:19:56+10:00,2010-06-21T14:19:56+10:00,2010-06-21T14:19:59+10:00,2010-06-21T14:22:00+10:00,2010-06-21T14:22:17+10:00
d77245350,140,780,Passed,95,3.95,1,2010-06-21T16:07:18+10:00,2010-06-21T16:07:28+10:00,2010-06-21T16:07:28+10:00,2010-06-21T16:07:32+10:00,2010-06-21T16:09:37+10:00,2010-06-21T16:09:53+10:00
d77245350,129,791,Passed,96,3.96,1,2010-06-22T10:25:51+10:00,2010-06-22T10:26:01+10:00,2010-06-22T10:26:01+10:00,2010-06-22T10:26:05+10:00,2010-06-22T10:27:56+10:00,2010-06-22T10:28:14+10:00
d77245350,130,796,Passed,97,3.97,1,2010-06-22T11:52:35+10:00,2010-06-22T11:52:45+10:00,2010-06-22T11:52:45+10:00,2010-06-22T11:52:49+10:00,2010-06-22T11:54:41+10:00,2010-06-22T11:55:00+10:00
d77245350,144,805,Passed,98,3.98,1,2010-06-22T16:26:49+10:00,2010-06-22T16:26:59+10:00,2010-06-22T16:26:59+10:00,2010-06-22T16:27:03+10:00,2010-06-22T16:29:11+10:00,2010-06-22T16:29:28+10:00
d77245350,151,815,Passed,99,3.99,1,2010-06-22T17:18:55+10:00,2010-06-22T17:47:45+10:00,2010-06-22T17:47:45+10:00,2010-06-22T17:47:49+10:00,2010-06-22T17:50:04+10:00,2010-06-22T17:50:20+10:00
d77245350,130,818,Passed,100,3.100,1,2010-06-22T17:54:07+10:00,2010-06-22T18:01:24+10:00,2010-06-22T18:01:24+10:00,2010-06-22T18:01:27+10:00,2010-06-22T18:03:22+10:00,2010-06-22T18:03:37+10:00
d77245350,139,833,Passed,101,3.101,1,2010-06-23T11:51:30+10:00,2010-06-23T11:52:18+10:00,2010-06-23T11:52:18+10:00,2010-06-23T11:52:22+10:00,2010-06-23T11:54:26+10:00,2010-06-23T11:54:41+10:00
d77245350,155,837,Passed,102,3.102,1,2010-06-23T11:58:19+10:00,2010-06-23T12:28:42+10:00,2010-06-23T12:28:42+10:00,2010-06-23T12:29:13+10:00,2010-06-23T12:31:32+10:00,2010-06-23T12:31:48+10:00
d77245350,152,840,Passed,103,3.103,1,2010-06-23T12:35:26+10:00,2010-06-23T13:02:20+10:00,2010-06-23T13:02:20+10:00,2010-06-23T13:02:51+10:00,2010-06-23T13:05:07+10:00,2010-06-23T13:05:23+10:00
d77245350,144,845,Passed,104,3.104,1,2010-06-23T13:40:36+10:00,2010-06-23T13:40:46+10:00,2010-06-23T13:40:46+10:00,2010-06-23T13:40:49+10:00,2010-06-23T13:42:58+10:00,2010-06-23T13:43:13+10:00
d77245350,145,861,Passed,105,3.105,1,2010-06-23T17:42:52+10:00,2010-06-23T17:55:37+10:00,2010-06-23T17:55:37+10:00,2010-06-23T17:55:41+10:00,2010-06-23T17:57:49+10:00,2010-06-23T17:58:06+10:00
d77245350,145,868,Passed,106,3.106,1,2010-06-24T08:16:10+10:00,2010-06-24T08:16:20+10:00,2010-06-24T08:16:20+10:00,2010-06-24T08:16:24+10:00,2010-06-24T08:18:31+10:00,2010-06-24T08:18:49+10:00
d77245350,143,877,Passed,107,3.107,1,2010-06-24T11:46:38+10:00,2010-06-24T11:46:48+10:00,2010-06-24T11:46:48+10:00,2010-06-24T11:46:51+10:00,2010-06-24T11:48:59+10:00,2010-06-24T11:49:15+10:00
d77245350,150,886,Passed,108,3.108,1,2010-06-24T13:46:39+10:00,2010-06-24T14:00:28+10:00,2010-06-24T14:00:28+10:00,2010-06-24T14:00:32+10:00,2010-06-24T14:02:45+10:00,2010-06-24T14:03:02+10:00
d77245350,147,892,Passed,109,3.109,1,2010-06-24T15:47:37+10:00,2010-06-24T15:47:47+10:00,2010-06-24T15:47:47+10:00,2010-06-24T15:47:50+10:00,2010-06-24T15:50:00+10:00,2010-06-24T15:50:17+10:00
